Date,Count
12/31/1916,2
1/01/1917,5
1/02/1917,3
1/03/1917,5
1/04/1917,3
1/05/1917,2
1/06/1917,3
1/07/1917,4
1/09/1917,26
1/10/1917,7
1/11/1917,2
1/12/1917,1
1/13/1917,3
1/14/1917,2
1/15/1917,5
1/16/1917,2
1/17/1917,3
1/18/1917,5
1/19/1917,2
1/20/1917,1
1/22/1917,3
1/25/1917,5
1/26/1917,3
1/27/1917,2
1/28/1917,4
1/29/1917,1
1/30/1917,2
1/31/1917,9
2/02/1917,7
2/03/1917,2
2/04/1917,10
2/05/1917,3
2/06/1917,6
2/07/1917,6
2/08/1917,4
2/09/1917,2
2/10/1917,1
2/11/1917,4
2/12/1917,6
2/13/1917,3
2/14/1917,3
2/15/1917,2
2/16/1917,2
2/17/1917,4
2/18/1917,5
2/19/1917,4
2/20/1917,2
2/21/1917,69
2/22/1917,5
2/23/1917,14
2/24/1917,3
2/25/1917,2
2/26/1917,5
2/27/1917,2
2/28/1917,16
3/01/1917,3
3/02/1917,5
3/04/1917,3
3/05/1917,6
3/06/1917,1
3/07/1917,2
3/08/1917,9
3/09/1917,1
3/10/1917,2
3/11/1917,3
3/12/1917,4
3/13/1917,3
3/14/1917,1
3/15/1917,4
3/17/1917,2
3/18/1917,1
3/19/1917,1
3/20/1917,2
3/21/1917,1
3/23/1917,10
3/24/1917,20
3/25/1917,11
3/26/1917,4
3/27/1917,9
3/28/1917,6
3/29/1917,4
3/30/1917,3
3/31/1917,6
4/01/1917,1
4/02/1917,8
4/03/1917,4
4/04/1917,3
4/05/1917,6
4/06/1917,3
4/07/1917,2
4/08/1917,4
4/09/1917,6
4/10/1917,3
4/11/1917,10
4/13/1917,2
4/14/1917,6
4/15/1917,8
4/16/1917,2
4/17/1917,2
4/18/1917,3
4/19/1917,14
4/20/1917,7
4/21/1917,5
4/22/1917,4
4/23/1917,6
4/24/1917,2
4/25/1917,1
4/26/1917,1
4/27/1917,4
4/28/1917,2
4/29/1917,1
4/30/1917,3
5/01/1917,5
5/02/1917,5
5/03/1917,14
5/04/1917,9
5/05/1917,21
5/06/1917,21
5/07/1917,8
5/08/1917,10
5/09/1917,2
5/10/1917,8
5/11/1917,3
5/12/1917,3
5/14/1917,2
5/15/1917,3
5/16/1917,3
5/17/1917,3
5/18/1917,2
5/19/1917,3
5/20/1917,5
5/21/1917,1
5/22/1917,4
5/24/1917,2
5/25/1917,7
5/26/1917,8
5/27/1917,4
5/28/1917,9
5/29/1917,2
5/30/1917,3
5/31/1917,1
6/01/1917,11
6/02/1917,3
6/03/1917,17
6/04/1917,13
6/05/1917,15
6/06/1917,23
6/07/1917,558
6/08/1917,134
6/09/1917,55
6/10/1917,31
6/11/1917,31
6/12/1917,15
6/13/1917,53
6/14/1917,59
6/15/1917,40
6/16/1917,25
6/17/1917,14
6/18/1917,21
6/19/1917,16
6/20/1917,22
6/21/1917,26
6/22/1917,10
6/23/1917,43
6/24/1917,14
6/25/1917,9
6/26/1917,11
6/27/1917,16
6/28/1917,6
6/29/1917,7
6/30/1917,3
7/01/1917,5
7/02/1917,4
7/03/1917,7
7/04/1917,4
7/05/1917,3
7/06/1917,8
7/07/1917,18
7/08/1917,8
7/09/1917,1
7/10/1917,14
7/11/1917,8
7/12/1917,4
7/13/1917,2
7/14/1917,3
7/15/1917,4
7/16/1917,5
7/17/1917,2
7/18/1917,4
7/19/1917,4
7/20/1917,9
7/21/1917,8
7/22/1917,12
7/23/1917,8
7/24/1917,2
7/25/1917,8
7/26/1917,15
7/27/1917,17
7/28/1917,7
7/29/1917,12
7/30/1917,5
7/31/1917,88
8/01/1917,29
8/02/1917,24
8/03/1917,9
8/04/1917,19
8/05/1917,22
8/06/1917,28
8/07/1917,16
8/08/1917,20
8/09/1917,17
8/10/1917,12
8/11/1917,20
8/12/1917,21
8/13/1917,10
8/14/1917,16
8/15/1917,12
8/16/1917,31
8/17/1917,22
8/18/1917,7
8/19/1917,17
8/20/1917,9
8/21/1917,11
8/22/1917,1
8/23/1917,7
8/24/1917,8
8/25/1917,5
8/26/1917,5
8/27/1917,1
8/28/1917,1
8/29/1917,2
8/31/1917,6
9/01/1917,2
9/03/1917,2
9/05/1917,1
9/06/1917,4
9/07/1917,2
9/08/1917,1
9/09/1917,4
9/10/1917,4
9/11/1917,7
9/12/1917,2
9/13/1917,6
9/15/1917,2
9/16/1917,6
9/17/1917,8
9/18/1917,2
9/19/1917,3
9/20/1917,10
9/21/1917,2
9/22/1917,5
9/23/1917,3
9/24/1917,11
9/25/1917,3
9/26/1917,8
9/27/1917,9
9/28/1917,10
9/29/1917,12
9/30/1917,18
10/01/1917,32
10/02/1917,16
10/03/1917,25
10/04/1917,500
10/05/1917,55
10/06/1917,23
10/07/1917,21
10/08/1917,15
10/09/1917,9
10/10/1917,16
10/11/1917,20
10/12/1917,849
10/13/1917,29
10/14/1917,43
10/15/1917,37
10/16/1917,31
10/17/1917,34
10/18/1917,33
10/19/1917,27
10/20/1917,26
10/21/1917,25
10/22/1917,30
10/23/1917,19
10/24/1917,16
10/25/1917,15
10/26/1917,11
10/27/1917,2
10/28/1917,7
10/29/1917,12
10/30/1917,9
10/31/1917,15
11/01/1917,5
11/02/1917,3
11/03/1917,6
11/04/1917,3
11/05/1917,16
11/06/1917,8
11/07/1917,9
11/08/1917,7
11/09/1917,3
11/10/1917,6
11/12/1917,2
11/13/1917,3
